~id,~from,~to,~label
1,1,6,Relacion
2,1,10,Relacion
3,1,29,Relacion
4,1,31,Relacion
5,1,32,Relacion
6,1,33,Relacion
7,1,34,Relacion
8,1,35,Relacion
9,2,13,Relacion
10,2,14,Relacion
11,2,22,Relacion
12,2,23,Relacion
13,3,4,Relacion
14,3,5,Relacion
15,3,6,Relacion
16,3,7,Relacion
17,3,8,Relacion
18,3,9,Relacion
19,3,10,Relacion
20,3,11,Relacion
21,3,12,Relacion
22,3,13,Relacion
23,4,3,Relacion
24,4,5,Relacion
25,4,6,Relacion
26,4,7,Relacion
27,4,8,Relacion
28,4,9,Relacion
29,4,10,Relacion
30,4,11,Relacion
31,4,12,Relacion
32,4,13,Relacion
33,4,14,Relacion
34,5,3,Relacion
35,5,4,Relacion
36,5,6,Relacion
37,5,7,Relacion
38,5,8,Relacion
39,5,9,Relacion
40,5,10,Relacion
41,5,11,Relacion
42,5,12,Relacion
43,5,13,Relacion
44,6,3,Relacion
45,6,4,Relacion
46,6,5,Relacion
47,6,7,Relacion
48,6,8,Relacion
49,6,9,Relacion
50,6,10,Relacion
51,6,11,Relacion
52,6,12,Relacion
53,6,13,Relacion
54,6,14,Relacion
55,7,3,Relacion
56,7,4,Relacion
57,7,5,Relacion
58,7,6,Relacion
59,7,8,Relacion
60,7,9,Relacion
61,7,10,Relacion
62,7,11,Relacion
63,7,12,Relacion
64,7,13,Relacion
65,7,14,Relacion
66,8,3,Relacion
67,8,4,Relacion
68,8,5,Relacion
69,8,6,Relacion
70,8,7,Relacion
71,8,9,Relacion
72,8,10,Relacion
73,8,11,Relacion
74,8,12,Relacion
75,8,13,Relacion
76,8,14,Relacion
77,9,3,Relacion
78,9,4,Relacion
79,9,5,Relacion
80,9,6,Relacion
81,9,7,Relacion
82,9,8,Relacion
83,9,10,Relacion
84,9,11,Relacion
85,9,12,Relacion
86,9,13,Relacion
87,9,14,Relacion
88,10,3,Relacion
89,10,4,Relacion
90,10,5,Relacion
91,10,6,Relacion
92,10,7,Relacion
93,10,8,Relacion
94,10,9,Relacion
95,10,11,Relacion
96,10,12,Relacion
97,10,13,Relacion
98,10,14,Relacion
99,11,3,Relacion
100,11,4,Relacion
101,11,5,Relacion
102,11,6,Relacion
103,11,7,Relacion
104,11,8,Relacion
105,11,9,Relacion
106,11,10,Relacion
107,11,12,Relacion
108,11,13,Relacion
109,11,14,Relacion
110,12,3,Relacion
111,12,4,Relacion
112,12,5,Relacion
113,12,6,Relacion
114,12,7,Relacion
115,12,8,Relacion
116,12,9,Relacion
117,12,10,Relacion
118,12,11,Relacion
119,12,13,Relacion
120,12,14,Relacion
121,13,14,Relacion
122,13,19,Relacion
123,13,22,Relacion
124,13,23,Relacion
125,13,24,Relacion
126,13,25,Relacion
127,13,26,Relacion
128,13,45,Relacion
129,14,2,Relacion
130,14,3,Relacion
131,14,4,Relacion
132,14,5,Relacion
133,14,6,Relacion
134,14,7,Relacion
135,14,8,Relacion
136,14,9,Relacion
137,14,10,Relacion
138,14,11,Relacion
139,14,12,Relacion
140,14,13,Relacion
141,14,16,Relacion
142,14,22,Relacion
143,14,23,Relacion
144,15,10,Relacion
145,15,14,Relacion
146,15,22,Relacion
147,15,23,Relacion
148,16,14,Relacion
149,16,15,Relacion
150,16,17,Relacion
151,16,18,Relacion
152,16,19,Relacion
153,16,20,Relacion
154,16,21,Relacion
155,16,22,Relacion
156,16,23,Relacion
157,17,14,Relacion
158,17,15,Relacion
159,17,16,Relacion
160,17,18,Relacion
161,17,19,Relacion
162,17,20,Relacion
163,17,21,Relacion
164,17,22,Relacion
165,17,23,Relacion
